,qid,qstr,recordid,title,abstract,ranking
75,412,strahlentherapie,M28127628,Fisteln des Urogenitaltraktes nach Strahlentherapie.,"['Background!#!Radiotherapy plays a\xa0substantial role in the treatment of malignancies. More than 2/3 of all oncologic patients undergo radiotherapy during their specific treatment. Besides manifold side effects of radiotherapy, radiogenic fistulas of the urogenital tract are a\xa0potential severe complication. These fistulas might affect the female genital tract and the urinary tract.!##!Therapy!#!Potential manifold variety of radiogenic urogenital fistulas requires a\xa0specific therapy. Radiation tissue damage includes severely disturbed local blood supply. Consequently, in some cases extremely complex reconstructive techniques are necessary to restore the functionality of the urinary tract.!##!Conclusion!#!The treatment of radiogenic urogenital fistulas is challenging. A\xa0successful therapy can only be achieved by local improvement of the blood supply in the damaged area.']",
76,412,strahlentherapie,M22274657,Bildgestützte Strahlentherapie. Paradigmenwechsel in der Strahlentherapie.,"['Clinical issue!#!The introduction of image-guided radiotherapy (IGRT) has changed the workflow in radiation oncology more dramatically than any other innovation in the last decades.!##!Standard treatment!#!Imaging for treatment planning before the initiation of the radiotherapy series does not take alterations in patient anatomy and organ movement into account.!##!Treatment innovations!#!The principle of IGRT is the temporal and spatial connection of imaging in the treatment position immediately before radiation treatment.!##!Diagnostic assessment!#!The actual position and the target position are compared using cone-beam computed tomography (CT) or stereotactic ultrasound.!##!Performance!#!The IGRT procedure allows a reduction of the safety margins and dose to normal tissue without an increase in risk of local recurrence.!##!Achievements!#!In the future the linear treatment chain in radiation oncology will be developed based on the closed-loop feedback principle.!##!Practical recommendations!#!The IGRT procedure is increasingly being used especially for high precision radiotherapy, e.g. for prostate or brain tumors.']",
77,412,strahlentherapie,M26168741,Insuffizienzfrakturen nach Strahlentherapie : Eine Fallserie.,"['Background!#!Radiation therapy plays an essential part in modern treatment regimes of musculoskeletal tumors. Nevertheless damage to the surrounding tissue does occur inevitably. Postradiogenic changes of bone are associated with decreased stability and an increased fracture rate. The orthopedic surgeon therefore faces a challenging situation with altered bone metabolism, changes in perfusion and soft tissue problems.!##!Patients/material and methods!#!We present 3 cases of radiation induced fractures during the treatment of soft tissue tumors, all of which received radiation doses of > 58 Gy. All fractures occurred over 1 year after the exposure to radiation in otherwise uneventful follow ups.!##!Results!#!Postoperative follow up showed fracture healing or in the case of the arthroplasty, osseous integration without further complications.!##!Conclusions!#!Radiation doses of ≥ 58 Gy are a major risk factor for pathological fractures in long bones. Regardless of their low incidence, fracture rates between 1,2 and 6,4 % prove their importance. Local tumor control has therefore to be weighed against the resulting decrease in bone quality and stability. Treatment options should always take into consideration the increased risk for complications such as infection, pseudarthroses and wound healing disorders. Our results show that substitution of vitamin D and calcium as well as the the use of reamed intramedullary implants benefits the outcome.']",
78,412,strahlentherapie,M19096822,Strahlentherapie von Lymphknotenmetastasen.,"['Radiotherapy of lymph node stations with clinical or subclinical disease can markedly reduce the risk of recurrence in these regions. The therapeutic gain depends on multiple concurrent risks, the underlying risk of recurrence in the respective lymph node station, the risk reduction by radiotherapy, the risk of local relapse of the primary tumor, the risk of distant metastases, and the risks of side effects of the therapy. An overview of the evidence from randomized studies on radiotherapy of lymph node regions is given.']",
80,412,strahlentherapie,M33057736,Moderne Bestrahlungsplanung und bildgeführte Strahlentherapie am Beispiel des Prostatakarzinoms.,"['Clinical/methodical issue!#!Optimizing radiotherapy demands precise delineation of the target structure, not only before but also during the course of radiotherapy.!##!Standard radiological methods!#!For many years, planning of external radiation treatment planning has been based on computer tomography data.!##!Methodological innovations!#!With the advent of image-guided radiotherapy (IGRT), magnetic resonance imaging (MRI) and functional hybrid imaging are increasingly being integrated into radiation treatment planning. The development of the MR-linac can be seen as an innovation.!##!Performance!#!The integration of MRI and hybrid imaging (positron emission tomography [PET]/CT, PET/MRI) in the treatment planning process enables more precise treatment planning due to the better morphological and functional information. The integration of MRI data on the MR-linac in daily position control enables adaptation of the irradiation plan to the current conditions.!##!Achievements!#!Technical innovation such as the MR-linac as well as increasing use of hybrid imaging contribute to the objective of further individualization within (radio)oncology.!##!Practical recommendations!#!Using the example of prostate cancer, the application of prostate-specific membrane antigen (PSMA) ligands and hybrid imaging offers great potential for individualized strategic treatment decisions. The MR-linac appears to be particularly suitable for radiation therapy of prostate cancer. Special attention must be paid to the technical aspects of positioning and data acquisition for the purpose of radiation treatment planning.']",
81,412,strahlentherapie,M31167267,Stereotaktische Strahlentherapie für Lebermetastasen.,"['In this review, the current state of stereotactic body radiation therapy (SBRT) is presented as a local therapy for patients with oligometastatic, oligoprogressive and oligorecurrent liver metastases - focusing on recent publications from German-speaking countries. In addition to precise imaging, modern SBRT techniques also use gating and tracking techniques that have made local therapy of liver metastases more effective. In combination with optimisation of central tumour dose, local control rates of up to 90% have been achieved with minimal side effects in less than 1% of patients and 5-year survival rates of more than 30% in selected (inoperable) patient populations. In future, hybrid ultrasound or MRI irradiation systems can overcome fiducial marker implantation. Due to the current outcome data, SBRT is a valuable addition to the therapeutic armamentarium for patients with liver metastases and is a true alternative to minimally invasive ablative procedures or can be used in combination with other local or systemic treatments in an interdisciplinary context.']",
84,412,strahlentherapie,M33052442,Magnetresonanzgeführte Strahlentherapie : Beginn einer neuen Ära in der Radioonkologie?,"['Clinical issue!#!Image-guided radiotherapy (IGRT) using X‑rays and cone-beam computed tomography (CT) has fostered precision radiotherapy. However, inter- and intrafractional variations of target volume position and organs at risk still limit target volume dose and sparing of radiosensitive organs at risk.!##!Methodological innovations!#!Hybrid machines directly combining linear accelerators and magnetic resonance (MR) imaging allow for live imaging during radiotherapy.!##!Performance!#!Besides highly improved soft tissue contrast, MR-linacs enable online, on-table adaptive radiotherapy. Thus, adaptation of the treatment plan to the anatomy of the day, dose escalation and superior sparing of organs at risk become possible.!##!Achievements!#!This article summarizes the underlying intention for the development of MR-guided radiotherapy, technical innovations and challenges as well as the current state-of-the-art. Potential clinical benefits and future developments are discussed.!##!Practical recommendations!#!Increasing availability of MR imaging at linear accelerators calls for the ability to review and interpret MR images. Therefore, close collaborations of diagnostic radiologists and radiation oncologists are mandatory to foster this fascinating technique.']",
86,412,strahlentherapie,M18641965,Strahlentherapie beim Prostatakarzinom.,"['Radiotherapy is a well-accepted treatment modality for patients with localised prostate cancer. Provided that radiotherapy is applied with a sufficient radiation dose, it is as effective as radical prostatectomy. Different radiation modalities are available (interstitial brachytherapy, external beam radiotherapy or a combination of both). Various new developments will further increase the value of radiation-based approaches. In this regard, a wider use of intensity-modulated radiotherapy (IMRT) and image-guided radiotherapy (IGRT) will result in higher treatment doses with even lower toxicity rates. Combinations of radiotherapy and hormonal ablation improve local control rates in defined groups of patients. After prostatectomy with positive surgical margins, adjuvant radiotherapy improves disease-free survival rates; in cases of local relapse, salvage radiotherapy is the only potentially curative treatment approach.']",
88,412,strahlentherapie,M26438093,Ultraschallbewegungstracking für die Strahlentherapie.,"['Background!#!In modern radiotherapy the radiation dose can be applied with an accuracy in the range of 1-2 mm provided that the exact position of the target is known. If, however, the target (the tumor) is located in the lungs or the abdomen, respiration or peristalsis can cause substantial movement of the target.!##!Methods!#!Various methods for intrafractional motion detection and compensation are currently under consideration or are already applied in clinical practice. Sonography is one promising option, which is now on the brink of clinical implementation. Ultrasound is particularly suited for this purpose due to the high soft tissue contrast, real-time capability, the absence of ionizing radiation and low acquisition costs. Ultrasound motion tracking is an image-based approach, i.e. the target volume or an adjacent structure is directly monitored and the motion is tracked automatically on the ultrasound image. Diverse algorithms are presently available that provide the real-time target coordinates from 2D as well as 3D images. Definition of a suitable sonographic window is not, however, trivial and a gold standard for positioning and mounting of the transducer has not yet been developed. Furthermore, processing of the coordinate information in the therapy unit and the dynamic adaptation of the radiation field are challenging tasks.!##!Conclusion!#!It is not clear whether ultrasound motion tracking will become established in the clinical routine although all technical prerequisites can be considered as fulfilled, such that exciting progress in this field of research is still to be expected.']",
92,412,strahlentherapie,M28005154,Pathogenese urologischer Komplikationen nach Strahlentherapie.,"['Radiation therapy is a\xa0treatment modality that is often used in the uro-oncological setting. The common indication for the radiation therapy in the urological sphere is prostate cancer, whether it is used primarily as a\xa0radical approach, or postoperatively as adjuvant or salvage therapy. All urological organs are sensitive to radiation injury with the urinary bladder being the most susceptible with a typical cascade including acute and late changes, arising in the dose-dependent manner. The common indication for radiation therapy in urology is prostate cancer, which collaterally affects the urinary bladder and rarely urethra (especially the bulbo-membranous urethra). Ureteral damage and stricture formation is almost always restricted to the cases of intraoperative therapy and external beam radiation therapy for other urological malignancies (gynecological organs, rectum, retroperitoneal soft tissue tumors) and should not be underestimated. Postradiotherapeutic tissue changes, especially of the prostate, can cause difficulties for pathologists and urologists with regard to diagnosis of prostate cancer recurrence and salvage therapy.']",
93,412,strahlentherapie,M32052075,Spätkomplikationen nach neo-/adjuvanter Strahlentherapie und Resektion von Sarkomen der Extremitäten oder des Beckens/Retroperitoneums : Ansätze zur Prävention.,"['Radiotherapy is one of the pillars in the multimodal therapy of sarcomas of the extremities or pelvis/retroperitoneum. It can be delivered prior to or following surgery. Novel radiation techniques, such as intensity-modulated radiotherapy using high-energy photons or protons, contribute to the reduction of acute and late toxicities. This review article summarizes these concepts.']",
96,412,strahlentherapie,M32350557,Intraoperative Strahlentherapie – Indikationen und Optionen in der Viszeralchirurgie.,"['Background!#!Intraoperative radiotherapy (IORT) enables a\xa0high precision through surgical exposure of the tumor and the tumor bed, which leads to a maximum radiation dose to the tumor while simultaneously protecting normal tissue from radiation as the dose-limiting factor. Therefore, IORT can be particularly advantageous if local tumor control decisively impacts on long-term survival and enables functional preservation.!##!Objective!#!This review summarizes the knowledge gained from a\xa0literature search to enable an evidence-based approach with respect to indications and treatment options of IORT for intra-abdominal tumors.!##!Results and conclusion!#!Although the effectiveness of IORT cannot be finally assessed due to limited evidence, IORT is established in the clinical practice as a supplement to the multimodal treatment of (recurrent) rectal cancer and sarcomas. Gastric and pancreatic carcinomas are further indications but additional studies are necessary to clearly define the role of IORT in these tumor entities. An important factor to achieve a\xa0benefit with IORT seems to be patient selection in order to obtain good local control of local recurrences as well as overall survival rates for patients with primary or recurrent cancer.']",
98,412,strahlentherapie,M26422577,Benchmark-Experiment zur Verifikation von Strahlungstransportrechnungen für die Dosimetrie in der Strahlentherapie.,"['Monte Carlo simulations are regarded as the most accurate method of solving complex problems in the field of dosimetry and radiation transport. In (external) radiation therapy they are increasingly used for the calculation of dose distributions during treatment planning. In comparison to other algorithms for the calculation of dose distributions, Monte Carlo methods have the capability of improving the accuracy of dose calculations - especially under complex circumstances (e.g. consideration of inhomogeneities). However, there is a lack of knowledge of how accurate the results of Monte Carlo calculations are on an absolute basis. A practical verification of the calculations can be performed by direct comparison with the results of a benchmark experiment. This work presents such a benchmark experiment and compares its results (with detailed consideration of measurement uncertainty) with the results of Monte Carlo calculations using the well-established Monte Carlo code EGSnrc. The experiment was designed to have parallels to external beam radiation therapy with respect to the type and energy of the radiation, the materials used and the kind of dose measurement. Because the properties of the beam have to be well known in order to compare the results of the experiment and the simulation on an absolute basis, the benchmark experiment was performed using the research electron accelerator of the Physikalisch-Technische Bundesanstalt (PTB), whose beam was accurately characterized in advance. The benchmark experiment and the corresponding Monte Carlo simulations were carried out for two different types of ionization chambers and the results were compared. Considering the uncertainty, which is about 0.7\xa0% for the experimental values and about 1.0\xa0% for the Monte Carlo simulation, the results of the simulation and the experiment coincide. ']",
